* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1157.226575, 44.495, 117.0721
1157.592786, 44.476, 117.5993
1157.958997, 44.458, 118.1297
1158.325208, 44.442, 118.6637
1158.691419, 44.426, 119.2003
1159.057630, 44.411, 119.7401
1159.423841, 44.396, 120.2823
1159.790052, 44.383, 120.8283
1160.156263, 44.371, 121.3763
1160.522474, 44.360, 121.9277
1160.888685, 44.350, 122.4803
1161.254896, 44.341, 123.0355
1161.621107, 44.333, 123.5931
1161.987318, 44.326, 124.1525
1162.353529, 44.320, 124.7136
1162.719740, 44.315, 125.2764
1163.085951, 44.311, 125.8404
1163.452162, 44.308, 126.4059
1163.818373, 44.307, 126.9727
1164.184584, 44.306, 127.5402
1164.550795, 44.306, 128.1088
1164.917006, 44.308, 128.6781
1165.283217, 44.311, 129.2479
1165.649428, 44.314, 129.8183
1166.015639, 44.319, 130.3884
1166.381849, 44.325, 130.9591
1166.748060, 44.332, 131.5291
1167.114271, 44.340, 132.0997
1167.480482, 44.350, 132.6686
1167.846693, 44.360, 133.2374
1168.212904, 44.372, 133.8050
1168.579115, 44.384, 134.3725
1168.945326, 44.398, 134.9378
1169.311537, 44.413, 135.5028
1169.677748, 44.429, 136.0656
1170.043959, 44.446, 136.6274
1170.410170, 44.464, 137.1873
1170.776381, 44.483, 137.7451
1171.142592, 44.503, 138.3010
1171.508803, 44.524, 138.8549
1171.875014, 44.546, 139.4062
1172.241225, 44.569, 139.9553
1172.607436, 44.593, 140.5010
1172.973647, 44.618, 141.0446
1173.339858, 44.644, 141.5851
1173.706069, 44.671, 142.1233
1174.072280, 44.698, 142.6578
1174.438491, 44.727, 143.1893
1174.804702, 44.757, 143.7173
1175.170913, 44.787, 144.2415
1175.537124, 44.818, 144.7628
1175.903335, 44.851, 145.2800
1176.269546, 44.884, 145.7937
1176.635757, 44.918, 146.3037
1177.001968, 44.952, 146.8098
1177.368178, 44.988, 147.3117
1177.734389, 45.024, 147.8094
1178.100600, 45.061, 148.3036
1178.466811, 45.098, 148.7932
1178.833022, 45.137, 149.2782
1179.199233, 45.176, 149.7592
1179.565444, 45.215, 150.2356
1179.931655, 45.256, 150.7080
1180.297866, 45.297, 151.1759
1180.664077, 45.338, 151.6388
1181.030288, 45.380, 152.0976
1181.396499, 45.423, 152.5517
1181.762710, 45.467, 153.0012
1182.128921, 45.510, 153.4459
1182.495132, 45.555, 153.8854
1182.861343, 45.600, 154.3208
1183.227554, 45.645, 154.7520
1183.593765, 45.691, 155.1781
1183.959976, 45.737, 155.5991
1184.326187, 45.784, 156.0155
1184.692398, 45.831, 156.4274
1185.058609, 45.879, 156.8343
1185.424820, 45.927, 157.2371
1185.791031, 45.975, 157.6342
1186.157242, 46.024, 158.0271
1186.523453, 46.073, 158.4152
1186.889664, 46.122, 158.7985
1187.255875, 46.172, 159.1770
1187.622086, 46.222, 159.5513
1187.988297, 46.272, 159.9204
1188.354508, 46.322, 160.2851
1188.720718, 46.373, 160.6453
1189.086929, 46.424, 161.0008
1189.453140, 46.475, 161.3515
1189.819351, 46.527, 161.6977
1190.185562, 46.579, 162.0395
1190.551773, 46.630, 162.3765
1190.917984, 46.682, 162.7095
1191.284195, 46.734, 163.0378
1191.650406, 46.787, 163.3617
1192.016617, 46.839, 163.6817
1192.382828, 46.892, 163.9967
1192.749039, 46.945, 164.3080
1193.115250, 46.997, 164.6143
1193.481461, 47.050, 164.9171
1193.847672, 47.103, 165.2155
1194.213883, 47.157, 165.5091
1194.580094, 47.210, 165.7991
1194.946305, 47.263, 166.0853
1195.312516, 47.316, 166.3670
1195.678727, 47.370, 166.6455
1196.044938, 47.423, 166.9190
1196.411149, 47.476, 167.1892
1196.777360, 47.530, 167.4554
1197.143571, 47.583, 167.7179
1197.509782, 47.637, 167.9760
1197.875993, 47.690, 168.2314
1198.242204, 47.744, 168.4825
1198.608415, 47.797, 168.7301
1198.974626, 47.851, 168.9739
1199.340837, 47.904, 169.2141
1199.707047, 47.957, 169.4508
1200.073258, 48.011, 169.6840
1200.439469, 48.064, 169.9137
1200.805680, 48.117, 170.1402
1201.171891, 48.171, 170.3634
1201.538102, 48.224, 170.5828
1201.904313, 48.277, 170.7990
1202.270524, 48.330, 171.0120
1202.636735, 48.383, 171.2219
1203.002946, 48.436, 171.4290
1203.369157, 48.489, 171.6325
1203.735368, 48.541, 171.8330
1204.101579, 48.594, 172.0304
1204.467790, 48.646, 172.2249
1204.834001, 48.699, 172.4165
1205.200212, 48.751, 172.6049
1205.566423, 48.804, 172.7907
1205.932634, 48.856, 172.9733
1206.298845, 48.908, 173.1533
1206.665056, 48.960, 173.3304
1207.031267, 49.012, 173.5048
1207.397478, 49.063, 173.6766
1207.763689, 49.115, 173.8456
1208.129900, 49.166, 174.0120
1208.496111, 49.218, 174.1756
1208.862322, 49.269, 174.3370
1209.228533, 49.320, 174.4956
1209.594744, 49.371, 174.6520
1209.960955, 49.422, 174.8053
1210.327166, 49.473, 174.9565
1210.693377, 49.524, 175.1054
1211.059587, 49.574, 175.2520
1211.425798, 49.624, 175.3961
1211.792009, 49.675, 175.5378
1212.158220, 49.725, 175.6771
1212.524431, 49.775, 175.8146
1212.890642, 49.824, 175.9493
1213.256853, 49.874, 176.0823
1213.623064, 49.924, 176.2130
1213.989275, 49.973, 176.3417
1214.355486, 50.022, 176.4682
1214.721697, 50.071, 176.5924
1215.087908, 50.120, 176.7145
1215.454119, 50.169, 176.8351
1215.820330, 50.218, 176.9532
1216.186541, 50.266, 177.0698
1216.552752, 50.315, 177.1840
1216.918963, 50.363, 177.2966
1217.285174, 50.411, 177.4073
1217.651385, 50.459, 177.5159
1218.017596, 50.507, 177.6228
1218.383807, 50.554, 177.7279
1218.750018, 50.602, 177.8311
1219.116229, 50.649, 177.9328
1219.482440, 50.696, 178.0324
1219.848651, 50.743, 178.1305
1220.214862, 50.790, 178.2268
1220.581073, 50.837, 178.3216
1220.947284, 50.883, 178.4147
1221.313495, 50.930, 178.5062
1221.679706, 50.976, 178.5961
1222.045916, 51.022, 178.6842
1222.412127, 51.068, 178.7709
